productname,category,price,description,brand,style,material,color,size
gap-dress-silk-Midnight-0,Clothing,78.99,gap dress,gap,dress,silk,Midnight,0
gap-dress-silk-Pink-Polish-0,Clothing,78.99,gap dress,gap,dress,silk,Pink Polish,0
gap-dress-silk-Purple-Dark-0,Clothing,78.99,gap dress,gap,dress,silk,Purple Dark,0
gap-dress-silk-Red-Lipstick-0,Clothing,78.99,gap dress,gap,dress,silk,Red Lipstick,0
gap-dress-silk-Black-0,Clothing,78.99,gap dress,gap,dress,silk,Black,0
gap-dress-silk-Midnight-2,Clothing,78.99,gap dress,gap,dress,silk,Midnight,2
gap-dress-silk-Pink-Polish-2,Clothing,78.99,gap dress,gap,dress,silk,Pink Polish,2
gap-dress-silk-Purple-Dark-2,Clothing,78.99,gap dress,gap,dress,silk,Purple Dark,2
gap-dress-silk-Red-Lipstick-2,Clothing,78.99,gap dress,gap,dress,silk,Red Lipstick,2
gap-dress-silk-Black-2,Clothing,78.99,gap dress,gap,dress,silk,Black,2
gap-dress-silk-Midnight-4,Clothing,78.99,gap dress,gap,dress,silk,Midnight,4
gap-dress-silk-Pink-Polish-4,Clothing,78.99,gap dress,gap,dress,silk,Pink Polish,4
gap-dress-silk-Purple-Dark-4,Clothing,78.99,gap dress,gap,dress,silk,Purple Dark,4
gap-dress-silk-Red-Lipstick-4,Clothing,78.99,gap dress,gap,dress,silk,Red Lipstick,4
gap-dress-silk-Black-4,Clothing,78.99,gap dress,gap,dress,silk,Black,4
gap-dress-silk-Midnight-6,Clothing,78.99,gap dress,gap,dress,silk,Midnight,6
gap-dress-silk-Pink-Polish-6,Clothing,78.99,gap dress,gap,dress,silk,Pink Polish,6
gap-dress-silk-Purple-Dark-6,Clothing,78.99,gap dress,gap,dress,silk,Purple Dark,6
gap-dress-silk-Red-Lipstick-6,Clothing,78.99,gap dress,gap,dress,silk,Red Lipstick,6
gap-dress-silk-Black-6,Clothing,78.99,gap dress,gap,dress,silk,Black,6
gap-dress-silk-Midnight-8,Clothing,78.99,gap dress,gap,dress,silk,Midnight,8
gap-dress-silk-Pink-Polish-8,Clothing,78.99,gap dress,gap,dress,silk,Pink Polish,8
gap-dress-silk-Purple-Dark-8,Clothing,78.99,gap dress,gap,dress,silk,Purple Dark,8
gap-dress-silk-Red-Lipstick-8,Clothing,78.99,gap dress,gap,dress,silk,Red Lipstick,8
gap-dress-silk-Black-8,Clothing,78.99,gap dress,gap,dress,silk,Black,8
gap-dress-silk-Midnight-10,Clothing,78.99,gap dress,gap,dress,silk,Midnight,10
gap-dress-silk-Pink-Polish-10,Clothing,78.99,gap dress,gap,dress,silk,Pink Polish,10
gap-dress-silk-Purple-Dark-10,Clothing,78.99,gap dress,gap,dress,silk,Purple Dark,10
gap-dress-silk-Red-Lipstick-10,Clothing,78.99,gap dress,gap,dress,silk,Red Lipstick,10
gap-dress-silk-Black--10,Clothing,78.99,gap dress,gap,dress,silk,Black      ,10
nike-AIR-JORDAN-4-RETRO-Black/Matte-5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,5
nike-AIR-JORDAN-4-RETRO-White/Pure-5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,5
nike-AIR-JORDAN-4-RETRO-Black/Matte-5.5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,5.5
nike-AIR-JORDAN-4-RETRO-White/Pure-5.5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,5.5
nike-AIR-JORDAN-4-RETRO-Black/Matte-6,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,6
nike-AIR-JORDAN-4-RETRO-White/Pure-6,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,6
nike-AIR-JORDAN-4-RETRO-Black/Matte-6.5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,6.5
nike-AIR-JORDAN-4-RETRO-White/Pure-6.5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,6.5
nike-AIR-JORDAN-4-RETRO-Black/Matte-7,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,7
nike-AIR-JORDAN-4-RETRO-White/Pure-7,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,7
nike-AIR-JORDAN-4-RETRO-Black/Matte-7.5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,7.5
nike-AIR-JORDAN-4-RETRO-White/Pure-7.5,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,7.5
nike-AIR-JORDAN-4-RETRO-Black/Matte-8,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,Black/Matte,8
nike-AIR-JORDAN-4-RETRO-White/Pure-8,Shoes,180,nike shoes,nike,AIR JORDAN 4 RETRO,,White/Pure,8
