productname,category,price,description,brand,style,material,color,size
wwdress(spp0),Clothing,78.99,gap dress,ww,dress,silk,Pink Polish,0
gap-dress-sm0,Clothing,78.99,gap dress,gap,dress,silk,Midnight,0
wwdress(spd0),Clothing,78.99,gap dress,ww,dress,silk,Purple Dark,0
wwdress(sr0),Clothing,78.99,gap dress,ww,dress,silk,Red Lipstick,0
wwdress(sb0),Clothing,78.99,gap dress,ww,dress,silk,Black,0
wwdress(sm2),Clothing,78.99,gap dress,ww,dress,silk,Midnight,2
wwdress(spp2),Clothing,78.99,gap dress,ww,dress,silk,Pink Polish,2
wwdress(spd2),Clothing,78.99,gap dress,ww,dress,silk,Purple Dark,2
wwdress(sr2),Clothing,78.99,gap dress,ww,dress,silk,Red Lipstick,2
wwdress(sb2),Clothing,78.99,gap dress,ww,dress,silk,Black,2
wwdress(sm4),Clothing,78.99,gap dress,ww,dress,silk,Midnight,4
wwdress(spp4),Clothing,78.99,gap dress,ww,dress,silk,Pink Polish,4
wwdress(spd4),Clothing,78.99,gap dress,ww,dress,silk,Purple Dark,4
wwdress(sr4),Clothing,78.99,gap dress,ww,dress,silk,Red Lipstick,4
wwdress(sb4),Clothing,78.99,gap dress,ww,dress,silk,Black,4
